nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Mayenne;Laval;Mazagran;123;PM10;14;microg/m3;"moyenne journalière";V;2019-01-01;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2019-01-02;UTC
Mayenne;Laval;Mazagran;123;PM10;12;microg/m3;"moyenne journalière";V;2019-01-03;UTC
Mayenne;Laval;Mazagran;123;PM10;18;microg/m3;"moyenne journalière";V;2019-01-04;UTC
Mayenne;Laval;Mazagran;123;PM10;28;microg/m3;"moyenne journalière";V;2019-01-05;UTC
Mayenne;Laval;Mazagran;123;PM10;26;microg/m3;"moyenne journalière";V;2019-01-06;UTC
Mayenne;Laval;Mazagran;123;PM10;24;microg/m3;"moyenne journalière";V;2019-01-07;UTC
Mayenne;Laval;Mazagran;123;PM10;17;microg/m3;"moyenne journalière";V;2019-01-08;UTC
Mayenne;Laval;Mazagran;123;PM10;17;microg/m3;"moyenne journalière";V;2019-01-09;UTC
Mayenne;Laval;Mazagran;123;PM10;19;microg/m3;"moyenne journalière";V;2019-01-10;UTC
Mayenne;Laval;Mazagran;123;PM10;22;microg/m3;"moyenne journalière";V;2019-01-11;UTC
Mayenne;Laval;Mazagran;123;PM10;15;microg/m3;"moyenne journalière";V;2019-01-12;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2019-01-13;UTC
Mayenne;Laval;Mazagran;123;PM10;17;microg/m3;"moyenne journalière";V;2019-01-14;UTC
Mayenne;Laval;Mazagran;123;PM10;15;microg/m3;"moyenne journalière";V;2019-01-15;UTC
Mayenne;Laval;Mazagran;123;PM10;23;microg/m3;"moyenne journalière";V;2019-01-16;UTC
Mayenne;Laval;Mazagran;123;PM10;13;microg/m3;"moyenne journalière";V;2019-01-17;UTC
Mayenne;Laval;Mazagran;123;PM10;21;microg/m3;"moyenne journalière";V;2019-01-18;UTC
Mayenne;Laval;Mazagran;123;PM10;16;microg/m3;"moyenne journalière";V;2019-01-19;UTC
Mayenne;Laval;Mazagran;123;PM10;16;microg/m3;"moyenne journalière";V;2019-01-20;UTC
Mayenne;Laval;Mazagran;123;PM10;36;microg/m3;"moyenne journalière";V;2019-01-21;UTC
Mayenne;Laval;Mazagran;123;PM10;19;microg/m3;"moyenne journalière";V;2019-01-22;UTC
Mayenne;Laval;Mazagran;123;PM10;8;microg/m3;"moyenne journalière";V;2019-01-23;UTC
Mayenne;Laval;Mazagran;123;PM10;21;microg/m3;"moyenne journalière";V;2019-01-24;UTC
Mayenne;Laval;Mazagran;123;PM10;14;microg/m3;"moyenne journalière";V;2019-01-25;UTC
Mayenne;Laval;Mazagran;123;PM10;5;microg/m3;"moyenne journalière";V;2019-01-26;UTC
Mayenne;Laval;Mazagran;123;PM10;12;microg/m3;"moyenne journalière";V;2019-01-27;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2019-01-28;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2019-01-29;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2019-01-30;UTC
Mayenne;Laval;Mazagran;123;PM10;9;microg/m3;"moyenne journalière";V;2019-01-31;UTC
Mayenne;Laval;Mazagran;123;PM10;14;microg/m3;"moyenne journalière";V;2019-02-01;UTC
Mayenne;Laval;Mazagran;123;PM10;14;microg/m3;"moyenne journalière";V;2019-02-02;UTC
Mayenne;Laval;Mazagran;123;PM10;16;microg/m3;"moyenne journalière";V;2019-02-03;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2019-02-04;UTC
Mayenne;Laval;Mazagran;123;PM10;8;microg/m3;"moyenne journalière";V;2019-02-05;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2019-02-06;UTC
Mayenne;Laval;Mazagran;123;PM10;13;microg/m3;"moyenne journalière";V;2019-02-07;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2019-02-08;UTC
Mayenne;Laval;Mazagran;123;PM10;17;microg/m3;"moyenne journalière";V;2019-02-09;UTC
Mayenne;Laval;Mazagran;123;PM10;6;microg/m3;"moyenne journalière";V;2019-02-10;UTC
Mayenne;Laval;Mazagran;123;PM10;15;microg/m3;"moyenne journalière";V;2019-02-11;UTC
Mayenne;Laval;Mazagran;123;PM10;26;microg/m3;"moyenne journalière";V;2019-02-12;UTC
Mayenne;Laval;Mazagran;123;PM10;25;microg/m3;"moyenne journalière";V;2019-02-13;UTC
Mayenne;Laval;Mazagran;123;PM10;33;microg/m3;"moyenne journalière";V;2019-02-14;UTC
Mayenne;Laval;Mazagran;123;PM10;39;microg/m3;"moyenne journalière";V;2019-02-15;UTC
Mayenne;Laval;Mazagran;123;PM10;44;microg/m3;"moyenne journalière";V;2019-02-16;UTC
Mayenne;Laval;Mazagran;123;PM10;34;microg/m3;"moyenne journalière";V;2019-02-17;UTC
Mayenne;Laval;Mazagran;123;PM10;35;microg/m3;"moyenne journalière";V;2019-02-18;UTC
Mayenne;Laval;Mazagran;123;PM10;20;microg/m3;"moyenne journalière";V;2019-02-19;UTC
